[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813527.727175209] 64 bytes from 172.16.2.240: icmp_seq=196 ttl=59 time=33.2 ms
[1732813528.743094960] 64 bytes from 172.16.2.240: icmp_seq=197 ttl=59 time=48.7 ms
[1732813529.759504616] 64 bytes from 172.16.2.240: icmp_seq=198 ttl=59 time=63.7 ms
[1732813530.767212759] 64 bytes from 172.16.2.240: icmp_seq=199 ttl=59 time=70.0 ms
[1732813531.794419521] 64 bytes from 172.16.2.240: icmp_seq=200 ttl=59 time=95.7 ms
[1732813532.789456543] 64 bytes from 172.16.2.240: icmp_seq=201 ttl=59 time=91.0 ms
[1732813533.759563322] 64 bytes from 172.16.2.240: icmp_seq=202 ttl=59 time=59.9 ms
[1732813534.796076227] 64 bytes from 172.16.2.240: icmp_seq=203 ttl=59 time=94.7 ms
[1732813535.791966760] 64 bytes from 172.16.2.240: icmp_seq=204 ttl=59 time=89.7 ms
[1732813536.763273262] 64 bytes from 172.16.2.240: icmp_seq=205 ttl=59 time=60.0 ms
[1732813537.801422974] 64 bytes from 172.16.2.240: icmp_seq=206 ttl=59 time=97.7 ms
[1732813538.809287723] 64 bytes from 172.16.2.240: icmp_seq=207 ttl=59 time=105 ms
[1732813539.791351616] 64 bytes from 172.16.2.240: icmp_seq=208 ttl=59 time=85.6 ms
[1732813540.801008354] 64 bytes from 172.16.2.240: icmp_seq=209 ttl=59 time=89.9 ms
[1732813541.772581950] 64 bytes from 172.16.2.240: icmp_seq=210 ttl=59 time=63.7 ms
[1732813542.762410698] 64 bytes from 172.16.2.240: icmp_seq=211 ttl=59 time=52.1 ms
[1732813543.782454810] 64 bytes from 172.16.2.240: icmp_seq=212 ttl=59 time=71.6 ms
[1732813544.774327003] 64 bytes from 172.16.2.240: icmp_seq=213 ttl=59 time=62.0 ms
[1732813545.811586776] 64 bytes from 172.16.2.240: icmp_seq=214 ttl=59 time=96.7 ms
[1732813546.808253484] 64 bytes from 172.16.2.240: icmp_seq=215 ttl=59 time=92.6 ms
[1732813547.779302239] 64 bytes from 172.16.2.240: icmp_seq=216 ttl=59 time=59.3 ms
[1732813548.797550433] 64 bytes from 172.16.2.240: icmp_seq=217 ttl=59 time=76.8 ms
[1732813549.809390801] 64 bytes from 172.16.2.240: icmp_seq=218 ttl=59 time=87.7 ms
[1732813550.814061134] 64 bytes from 172.16.2.240: icmp_seq=219 ttl=59 time=90.2 ms
[1732813551.798528721] 64 bytes from 172.16.2.240: icmp_seq=220 ttl=59 time=73.4 ms
[1732813552.754367448] 64 bytes from 172.16.2.240: icmp_seq=221 ttl=59 time=25.8 ms
[1732813553.790431857] 64 bytes from 172.16.2.240: icmp_seq=222 ttl=59 time=59.6 ms
[1732813554.798473930] 64 bytes from 172.16.2.240: icmp_seq=223 ttl=59 time=68.0 ms
[1732813555.781775076] 64 bytes from 172.16.2.240: icmp_seq=224 ttl=59 time=50.2 ms
[1732813556.787668536] 64 bytes from 172.16.2.240: icmp_seq=225 ttl=59 time=55.0 ms
[1732813557.798371658] 64 bytes from 172.16.2.240: icmp_seq=226 ttl=59 time=65.4 ms
[1732813558.792636555] 64 bytes from 172.16.2.240: icmp_seq=227 ttl=59 time=57.8 ms
[1732813559.801574277] 64 bytes from 172.16.2.240: icmp_seq=228 ttl=59 time=64.4 ms
[1732813560.809627001] 64 bytes from 172.16.2.240: icmp_seq=229 ttl=59 time=70.9 ms
[1732813561.799454998] 64 bytes from 172.16.2.240: icmp_seq=230 ttl=59 time=59.6 ms
[1732813562.810171636] 64 bytes from 172.16.2.240: icmp_seq=231 ttl=59 time=65.9 ms
[1732813563.798397783] 64 bytes from 172.16.2.240: icmp_seq=232 ttl=59 time=54.9 ms
[1732813564.892274197] 64 bytes from 172.16.2.240: icmp_seq=233 ttl=59 time=147 ms
[1732813565.810163133] 64 bytes from 172.16.2.240: icmp_seq=234 ttl=59 time=63.6 ms
[1732813566.800601652] 64 bytes from 172.16.2.240: icmp_seq=235 ttl=59 time=52.6 ms
[1732813567.804277519] 64 bytes from 172.16.2.240: icmp_seq=236 ttl=59 time=56.3 ms
[1732813568.800647377] 64 bytes from 172.16.2.240: icmp_seq=237 ttl=59 time=51.1 ms
[1732813569.798198492] 64 bytes from 172.16.2.240: icmp_seq=238 ttl=59 time=48.5 ms
[1732813570.817259228] 64 bytes from 172.16.2.240: icmp_seq=239 ttl=59 time=65.2 ms
[1732813571.824314349] 64 bytes from 172.16.2.240: icmp_seq=240 ttl=59 time=72.8 ms
[1732813572.809607704] 64 bytes from 172.16.2.240: icmp_seq=241 ttl=59 time=56.0 ms
[1732813573.820650898] 64 bytes from 172.16.2.240: icmp_seq=242 ttl=59 time=66.1 ms
[1732813574.809523573] 64 bytes from 172.16.2.240: icmp_seq=243 ttl=59 time=54.8 ms
[1732813575.816269151] 64 bytes from 172.16.2.240: icmp_seq=244 ttl=59 time=57.9 ms
[1732813576.822536868] 64 bytes from 172.16.2.240: icmp_seq=245 ttl=59 time=63.9 ms
[1732813577.812648801] 64 bytes from 172.16.2.240: icmp_seq=246 ttl=59 time=53.7 ms
[1732813578.808579319] 64 bytes from 172.16.2.240: icmp_seq=247 ttl=59 time=48.8 ms
[1732813579.834784402] 64 bytes from 172.16.2.240: icmp_seq=248 ttl=59 time=70.6 ms
[1732813580.809174921] 64 bytes from 172.16.2.240: icmp_seq=249 ttl=59 time=44.6 ms
[1732813581.823384568] 64 bytes from 172.16.2.240: icmp_seq=250 ttl=59 time=54.0 ms
[1732813582.853582352] 64 bytes from 172.16.2.240: icmp_seq=251 ttl=59 time=85.0 ms
[1732813583.844145486] 64 bytes from 172.16.2.240: icmp_seq=252 ttl=59 time=75.3 ms
[1732813584.811341906] 64 bytes from 172.16.2.240: icmp_seq=253 ttl=59 time=41.8 ms
[1732813585.816680680] 64 bytes from 172.16.2.240: icmp_seq=254 ttl=59 time=43.6 ms
[1732813586.813212232] 64 bytes from 172.16.2.240: icmp_seq=255 ttl=59 time=41.4 ms
[1732813587.827143164] 64 bytes from 172.16.2.240: icmp_seq=256 ttl=59 time=53.7 ms
[1732813588.835568189] 64 bytes from 172.16.2.240: icmp_seq=257 ttl=59 time=60.2 ms
[1732813589.844716128] 64 bytes from 172.16.2.240: icmp_seq=258 ttl=59 time=66.6 ms
[1732813590.862672101] 64 bytes from 172.16.2.240: icmp_seq=259 ttl=59 time=83.1 ms
[1732813591.828206486] 64 bytes from 172.16.2.240: icmp_seq=260 ttl=59 time=48.0 ms
[1732813592.817383015] 64 bytes from 172.16.2.240: icmp_seq=261 ttl=59 time=35.7 ms
[1732813593.820866640] 64 bytes from 172.16.2.240: icmp_seq=262 ttl=59 time=37.1 ms
[1732813594.881534637] 64 bytes from 172.16.2.240: icmp_seq=263 ttl=59 time=94.1 ms
